"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__BreedTypeInbred","m__est__mean.QTL.add","m__est__BreedTypeInbred:mean.QTL.add","m__se__(Intercept)","m__se__BreedTypeInbred","m__se__mean.QTL.add","m__se__BreedTypeInbred:mean.QTL.add","v__est__(Intercept)","v__est__BreedTypeInbred","v__est__var.QTL.add","v__est__BreedTypeInbred:var.QTL.add","v__se__(Intercept)","v__se__BreedTypeInbred","v__se__var.QTL.add","v__se__BreedTypeInbred:var.QTL.add"
"44","A","1","IDP1437",91.9,0,1,0,1,0,1,4680.200548979,1234.76143641808,1467.26386909421,-1348.08508242207,700.123051759629,748.216177712992,436.585615733625,476.904154983035,16.3872491150477,-0.273592896371559,0.013342382402995,0.00556356353262014,0.452921168323098,0.493408641914122,0.281105105382708,0.314470970664826
"45","A","1","IDP847",93.03,0,1,0,1,0,1,4680.02459222336,1407.3095672616,1467.32874420991,-1524.05654707278,700.122952766054,749.368263162157,436.555959322912,476.184010014133,16.3872692512076,-0.250627063276296,0.0133016846877746,-0.0166642980383216,0.474081125021236,0.516531744704252,0.294222250381854,0.328553998724025
"46","A","1","gpm125",96.14,0,1,0,1,0,1,4679.1268709493,1408.69259113459,1467.65936836482,-1524.8834301132,700.257448337631,749.490245684149,436.508055060855,476.15291952825,16.3875075405524,-0.251030607861926,0.0130336263466876,-0.0162340557731998,0.473799776783251,0.516222918108209,0.2939868234742,0.328310900046465
"47","A","1","lls1",97.12,0,1,0,1,0,1,4679.32383028865,1417.98790466832,1467.55463250452,-1533.99505624539,700.260443333654,749.763091472298,436.50697968061,475.850830017035,16.387590606626,-0.2475479726471,0.012980380608923,-0.0198865064717957,0.479198850590205,0.522194108849068,0.297340488074565,0.331801251434358
"48","A","1","php20689",99.42,1.97494265150113e-13,0.999999999999901,0,1,1.97494265150113e-13,1,4678.84932900767,1418.75612897533,1468.13526038159,-1534.87102016603,700.245836766642,749.766416591953,436.5940917114,475.9479280151,16.3874110827199,-0.247248301131419,0.0130876275915003,-0.0201192816939514,0.480553168877588,0.523674070678209,0.298235507612974,0.332798637310903
"49","A","1","umc1685",101.32,-1.97494265150113e-13,1,-1.97494265150113e-13,1,-1.97494265150113e-13,1,4681.72751635781,1415.76692907213,1473.48099105791,-1540.10876483478,695.979417190995,745.775696148993,436.989279792568,476.293476571577,16.3778507526732,-0.237568126160449,0.0203427005854232,-0.0274950258679387,0.484551561865411,0.528133707575465,0.302044593190315,0.336833252206417
"50","A","1","gpm557b",106.62,0,1,0,1,0,1,4826.54205301334,992.264132059105,1354.19743094249,-1154.10468443576,716.409931976372,763.941467925641,443.669513669485,482.149591565838,16.4332614823424,-0.385067389783703,-0.00548545352380916,0.079675104955622,0.413852728504743,0.453634496385997,0.256788868000482,0.286698360291715
"51","A","1","umc1160",106.63,0,1,1.97494265150113e-13,0.999999999999901,0,1,4826.54219724228,992.265843755533,1354.19736045469,-1154.1062379814,716.409946300232,763.941437363137,443.669526509607,482.149559864881,16.4332615487249,-0.385067003515709,-0.0054854933420425,0.0796748358381758,0.413853548691669,0.453635346383052,0.256789382765717,0.286698898233678
"52","A","1","gpm584",107.6,0,1,0,1,0,1,5135.19587792298,743.714999779598,1186.17532704365,-1020.02423883746,737.974206979784,778.978284970787,458.047254076089,497.946307221546,16.575689534804,-0.527298744885618,-0.103469768141882,0.189625374818784,0.428806240048737,0.468257449844008,0.276271779367229,0.309921703667719
"53","A","1","gpm346b",108.13,0,1,0,1,0,1,5195.1226241474,661.74464741855,1163.46637270473,-973.830941141368,705.579996687408,748.281630791178,443.277501055137,482.93446936953,16.5409436746682,-0.48042029686127,-0.07609815620052,0.148980637730891,0.429563271905059,0.470862391321216,0.277884032967572,0.312258984605651
"54","A","1","gpm33e",108.55,0,1,0,1,0,1,5190.60897465583,684.955055490087,1166.70156770707,-996.730853435613,705.592491351433,748.163212419541,443.418357947852,482.851679856463,16.5396768758855,-0.475206794537284,-0.0753293145600068,0.145082634348032,0.426727528864558,0.467436133752753,0.276049112978857,0.309959883141244
"55","A","1","umc2224",109.23,0,1,0,1,0,1,5190.63078549646,659.82970945558,1166.69064810202,-969.187123644707,705.602905534324,746.556734356679,443.425034924591,483.111866022256,16.5397036270579,-0.515096245300146,-0.0753495418639148,0.183863356816891,0.441651413699038,0.483783767987963,0.285705476477642,0.320842150787535
"56","A","1","gpm556",110.49,0,1,0,1,0,1,5149.575649328,707.861701169521,1195.9437321285,-1006.92015951336,705.753084756099,746.965845461429,444.622698796109,484.452708412477,16.5284463990567,-0.504377269880665,-0.0686194848182129,0.177579208570741,0.418308680815554,0.457991701185823,0.270556907761646,0.303646631871633
"57","A","1","npi579b",110.53,0,1,0,1,0,1,5149.5758972889,708.488538894033,1195.94836846736,-1007.5502836097,705.751493508405,746.971373368267,444.623854118236,484.472612526292,16.5284427098734,-0.504189462518799,-0.0686166747530808,0.177456347206721,0.417999962988123,0.457653353743964,0.270358244779565,0.30343838018528
"58","A","1","IDP3917",115.28,0,1,0,1,0,1,4677.47399507067,1576.87106907393,1497.61912978236,-1744.25630588775,714.238378081702,759.783621907775,439.671792461901,479.142249921277,16.460552091779,-0.308148359953046,-0.0513532777489982,0.0236318023367227,0.437168410505314,0.474705543521505,0.274011780015374,0.306811597442239
"59","A","1","gpm199c",115.57,0,1,0,1,0,1,4613.1427659526,1629.05208618267,1460.46246734736,-1687.73062732055,793.191129200025,834.613334998501,466.434752093771,504.123672958432,16.5599209314029,-0.428331146992063,-0.114329747047078,0.111170969034293,0.470559657804348,0.507785767326829,0.28637530148646,0.319115720068533
"60","A","1","IDP1425",118.03,0,1,0,1,0,1,4614.88249615746,1557.29089317545,1458.93351127977,-1605.5449065978,793.261286660992,832.027350016391,466.398621820242,504.315498799165,16.56009713879,-0.52826362953921,-0.11429213115112,0.213155653947466,0.476452049873595,0.515302187463614,0.289911726337682,0.322939386213135
"61","A","1","mmp68",121.93,0,1,0,1,0,1,4816.34421706508,1703.00460073213,1335.4163223095,-1860.54876166444,767.061791169983,806.557044135786,459.658578192734,496.726661272339,16.532148374946,-0.475809600379375,-0.0779453485948011,0.130263098198965,0.411528142558109,0.445133329548971,0.252845072560305,0.281847062979101
"62","A","1","umc2225",123.03,0,1,0,1,0,1,4816.53741053966,1668.77098737794,1335.39480691084,-1839.25188069201,767.153506824471,805.339135339376,459.75357321222,497.279589548027,16.5323091159385,-0.484433837422216,-0.0780485704853456,0.143174902213014,0.409624037890723,0.442245139589418,0.251704054975021,0.280709165589281
"63","A","1","csu1171",125.63,0,1,0,1,0,1,4799.51218149846,1739.75982460669,1347.76856962183,-1897.68542661098,767.014357629743,806.219991574123,461.298588132428,498.561012543801,16.5241558555333,-0.474615646044144,-0.0725181679738343,0.129695373020525,0.413032437966748,0.446450406501569,0.25423501632852,0.28333084955101
"64","A","1","mmp171b",130.13,0,1,0,1,0,1,5626.65471091016,692.1459065996,659.353191800503,-935.930349057303,852.736133949701,891.087896314417,499.15812063636,533.674524261751,16.5303491763855,-0.511817429888325,-0.00774668739631151,0.106641239104974,0.500305580524127,0.537314678423257,0.29347477980214,0.32351442546287
"65","A","1","gpm403b",131.93,0,1,0,1,0,1,5625.9244063641,623.604685293952,659.815235269496,-864.692689380252,852.595817566894,891.940722096018,499.073806504113,533.703009299384,16.5300152560527,-0.513960280131666,-0.0075393985781458,0.109304464849604,0.497705320009827,0.535544507268723,0.291931936273383,0.321971115839096
"66","A","1","umc1568",140.13,0,1,0,1,0,1,4836.75689342013,1477.80494528456,1121.94592938397,-1386.89885385335,947.611579409032,982.121958342008,533.285533040525,565.391446518619,16.5300231812351,-0.544331627728347,-0.0300142673586286,0.154814024724796,0.575097254327706,0.610745563827639,0.325748212253634,0.354818841768317
"67","A","1","IDP3783",140.14,0,1,0,1,0,1,4836.75190309168,1477.82491125319,1121.94734082472,-1386.91264366117,947.61169916662,982.122005270789,533.28470773189,565.390287342226,16.5300234344331,-0.544333510441631,-0.0300145942833658,0.154814263904345,0.575119770217046,0.610769467195115,0.325760446168875,0.354831951514819
"68","A","1","bnlg1429",141.83,1.97494265150113e-13,0.999999999999901,0,1,0,1,4836.74898616637,1480.37207233008,1121.94846070712,-1389.05966950666,947.611775644685,982.112793795004,533.284372644302,565.340238414567,16.5300235818552,-0.544632662733523,-0.0300147909070594,0.154838605925772,0.58444609915319,0.620675030337978,0.331042863666851,0.360546249254732
"69","A","1","IDP209",144.3,0,1,0,1,0,1,4837.5097475903,1479.45957743929,1121.58591045729,-1388.55523816938,947.4737406238,981.983942724488,533.291144230178,565.352044169911,16.5297325834657,-0.544303526680564,-0.0297969337690329,0.15459720792982,0.586035574590358,0.622365859817817,0.331980284775674,0.361565458453917
"70","A","1","php20640",145.23,0,1,0,1,0,1,5623.84133211408,785.609083337698,660.980347423412,-1023.81500517745,852.682053523238,891.348218468727,499.004410598409,533.188528154353,16.5296397695904,-0.502512058985604,-0.00733376115572628,0.0935171447142317,0.552731190778161,0.593586310539079,0.324111830548088,0.357111521492939
"71","A","1","lim504",149.93,0,1,0,1,0,1,5377.66892574675,1061.97884758973,845.074183430516,-1236.74466085195,849.620757752552,889.834693509076,496.36182786624,530.752726889392,16.5677938146664,-0.504625871532977,-0.0458807170071009,0.0976426311769412,0.4977723813323,0.536229200137954,0.294515069329448,0.3253043329977
"72","A","1","gpm283b",151.4,0,1,0,1,0,1,5380.15875810638,1014.14868327336,843.562738153131,-1186.96503675035,848.552009048218,889.683037692938,495.763829656931,530.729592703811,16.5670263951409,-0.50421356300522,-0.0452933532610284,0.0999105384998958,0.484790168813926,0.523110129417836,0.286807747260445,0.317261288551978
"73","A","1","IDP343",152.71,0,1,0,1,0,1,5380.96966024069,966.247807102459,843.116039223002,-1138.3815600673,848.447857201078,889.628421582897,495.801616808138,530.376239057525,16.5667815154246,-0.509010330202807,-0.0450891082865686,0.10625967985023,0.488614761149848,0.527480756679408,0.289111646189119,0.31944406039872
"74","A","1","IDP622",152.96,0,1,0,1,0,1,5773.64678899397,531.984484358204,600.624292151229,-863.830178480713,778.327201228436,821.867775364565,473.718662402316,509.876302875234,16.5199483946819,-0.460025656216381,0.000812175266623969,0.0615244159007449,0.496325380899656,0.539646635985902,0.302002348194804,0.335774526625294
"75","A","1","IDP3970",156.2,0,1,0,1,0,1,6052.6721163387,301.013876417059,386.921646513228,-703.341529430563,922.313554915784,955.933653965276,523.537552879211,556.992496183833,16.8207292033728,-0.848355280991492,-0.225317880770463,0.364933568863603,0.494632916409738,0.535744072251136,0.298130170867214,0.331453237083404
"76","A","1","umc1976",158.93,0,1,0,1,0,1,6057.8131769399,385.656226495801,383.894846108949,-799.967001032222,922.451087146981,955.335280121034,524.418570219175,557.862530920613,16.8211453784338,-0.84246608514401,-0.225942199270698,0.35724511960562,0.494377731354384,0.534356798477825,0.298454806858187,0.331736745243349
"77","A","1","gpm667",162.62,0,1,0,1,0,1,6051.74091989042,385.435136153406,387.541790627503,-775.206789705856,922.352779164137,957.138426355769,523.492950633683,556.358517702232,16.8208296313572,-0.836869619186004,-0.225395023364105,0.347628542073521,0.507981691699605,0.551197000072449,0.306143818198725,0.340149226558388
"78","A","1","gpm774d",162.74,0,1,0,1,0,1,6051.74132698166,387.610212434025,387.541358904559,-777.027122076501,922.353474859129,957.139587951671,523.493322120091,556.33064190868,16.8208301474067,-0.83717807210221,-0.225395334557932,0.347677607081178,0.508609877135071,0.551894088737781,0.306522403546615,0.340552790912719
"79","A","1","umc2226",164.13,0,1,0,1,0,1,6437.9793161321,-114.945157725389,101.241027299756,-381.534331547552,1010.82185488444,1040.25445425793,560.622310377122,591.648790532352,16.8704741407669,-0.961963251534694,-0.243531709148093,0.435268609597833,0.53674407533402,0.576660767011309,0.314694560530658,0.347211409818146
"80","A","1","mmp135",164.33,0,1,0,1,0,1,6437.98031269488,-111.164664816771,101.241328316815,-386.71991325093,1010.81867190732,1039.82490624301,560.620062332329,591.184593907723,16.8704697956175,-0.961053398660963,-0.243528033678729,0.434913924386372,0.551876560492121,0.59238638302457,0.323566315407131,0.356498437220742
"81","A","1","bnlg1127",165.83,0,1,0,1,0,1,6437.7104300305,-113.014419415749,101.42678578978,-388.136720517447,1010.84880389907,1039.44348767389,560.657554148322,591.731057706349,16.8705340155621,-0.972465227616287,-0.243590982938036,0.446180498149353,0.562571296151117,0.603705555698398,0.329852113829258,0.363890680077942
"82","A","1","bnlg1953",168.33,0,1,0,1,0,1,6437.99281095617,-143.399195884305,101.232554338101,-356.479149730982,1010.81772658124,1039.75718724699,560.619700939157,591.384329363589,16.8704721751993,-0.963133426074562,-0.243530610169938,0.438527197854456,0.602118252809302,0.646296698751959,0.353023423717653,0.389114123660532
"83","A","1","gpm768",168.34,0,1,-1.97494265150113e-13,1,0,1,6437.99665502783,-143.448424387914,101.229977615717,-356.435593618909,1010.81738093751,1039.75219755607,560.619588350547,591.383326605172,16.8704714872357,-0.963260485185652,-0.243530069979138,0.438636982181193,0.59958234272892,0.643573452097463,0.351536626789693,0.387474371082743
"84","A","1","gpm291",168.35,0,1,0,1,0,1,6458.1825607655,-165.273103887112,87.9924603190695,-341.978031939544,1010.46987244104,1039.39003549548,562.459789316965,593.196796174835,16.8701262199602,-0.963742497519123,-0.244081703766572,0.440164700169,0.571373993413343,0.613303182652797,0.336205283825008,0.370421067289545
